,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
17,현대 그랜저IG 하이브리드 2.4 HEV 익스클루시브 스페셜,차량번호 33가7812,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216692&gubun=K,2018.06 (19년형),"55,383 km",가솔린 하이브리드,"2,359 cc (199마력)",회색,만료,"2,650만원",준비중,유,무,유,유,유,유,유,유,유,유,등록,1,0,0,0,0,4,"5,271,568",2,"1,669,217"
18,현대 그랜저IG 2.4  프리미엄 스페셜,차량번호 184두1446,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216416&gubun=K,2017.03,"62,188 km",가솔린,"2,359 cc (190마력)",검정색,만료,"1,790만원",53,무,무,무,유,무,무,무,무,무,유,등록,4,0,0,0,0,1,"942,300",2,"3,401,763"
19,현대 그랜저HG  240 모던   ,차량번호 34루6273,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2209801&gubun=K,2013.12 (14년형),"167,992 km",가솔린,"2,359 cc (201마력)",흰색,불가,890만원,29,무,유,유,유,무,유,무,유,무,무,미등록,,,,,,,,,
20,현대 그랜저HG 300 LPi 프리미엄,차량번호 59서2874,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216827&gubun=K,2012.06,"128,383 km",LPG,"2,999 cc (235마력)",회색,만료,690만원,준비중,무,무,유,유,유,유,유,유,무,무,등록,3,0,0,0,0,2,"1,797,258",0,0
21,현대 그랜저HG 하이브리드 2.4 HEV 프리미엄,차량번호 48누1487,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216255&gubun=K,2015.03,"229,350 km",가솔린 하이브리드,"2,359 cc (199마력)",검정색,만료,770만원,20,유,유,유,유,유,유,무,유,유,무,등록,3,0,0,0,0,4,"8,129,148",0,0
22,현대 그랜저HG 220 디젤 프리미엄,차량번호 53더1632,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217034&gubun=K,2015.01,"115,435 km",디젤,"2,199 cc (202마력)",검정색,만료,999만원,29,무,무,유,유,유,유,무,유,무,무,등록,1,0,0,0,0,2,"916,288",1,"1,356,217"
23,현대 그랜저HG  300 LPi ,차량번호 13부9685,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215918&gubun=K,2012.01,"93,858 km",LPG,"2,999 cc (235마력)",검정색,만료,"1,030만원",준비중,무,무,유,무,무,유,무,유,무,유,등록,2,0,0,0,0,5,"5,986,356",0,0
24,현대 그랜저HG 하이브리드  2.4 HEV 프리미엄,차량번호 28마0837,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216739&gubun=K,2016.09 (17년형),"98,564 km",가솔린 하이브리드,"2,359 cc (199마력)",은색,만료,"1,450만원",39,무,무,유,유,유,유,무,유,무,유,등록,3,0,0,0,0,0,0,0,0
25,현대 더 뉴 그랜저 2.5 프리미엄 초이스,차량번호 349보5208,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214245&gubun=K,2021.05,"22,500 km",가솔린,"2,497 cc (198마력)",흰색,정보없음,"2,930만원",86,무,무,유,유,유,유,무,유,무,유,등록,2,0,0,0,0,2,"250,000",1,"1,428,690"
26,현대 더 뉴 그랜저  2.5 캘리그래피   ,차량번호 345모9569,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2209115&gubun=K,2020.10 (21년형),"135,027 km",가솔린,"2,497 cc (198마력)",청색,"60개월 / 100,000km","2,699만원",65,무,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
