,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
204,현대 그랜드스타렉스  어린이보호차 디젤 12인승 2WD   ,차량번호 72버5064,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2194572&gubun=K,2016.04 (17년형),"101,882 km",디젤,"2,497 cc (175마력)",노란색,불가,"1,490만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
205,현대 그랜드스타렉스  어린이보호차 디젤 12인승 2WD   ,차량번호 70가7856,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2194076&gubun=K,2013.07 (14년형),"106,982 km",디젤,"2,497 cc (175마력)",노란색,불가,"1,099만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
206,현대 그랜드스타렉스  어린이보호차 디젤 12인승 2WD   ,차량번호 77보9851,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2194077&gubun=K,2016.05 (17년형),"79,834 km",디젤,"2,497 cc (175마력)",노란색,불가,"1,690만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
207,현대 그랜드스타렉스  2.5 디젤 밴 3인승 2WD CVX 디럭스   ,차량번호 814머5220,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2190450&gubun=K,2012.12 (13년형),"217,478 km",디젤,"2,497 cc (174마력)",흰색,불가,799만원,41,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
208,현대 그랜드스타렉스  2.5 디젤 밴 5인승 2WD CVX 디럭스  ,차량번호 85머2013,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2189456&gubun=K,2009.12 (10년형),"287,639 km",디젤,"2,497 cc (174마력)",은색,불가,499만원,25,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
209,현대 그랜드스타렉스  캠핑카 -  ,차량번호 74오7742,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199232&gubun=K,2011.12 (12년형),"145,000 km",디젤,"2,497 cc (174마력)",기타색상,불가,"1,600만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
210,현대 그랜드스타렉스  캠핑카 -   ,차량번호 72수2076,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199233&gubun=K,2014.08 (15년형),"176,900 km",디젤,"2,497 cc (174마력)",흰색,불가,"2,300만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
211,현대 그랜드스타렉스  캠핑카 -  ,차량번호 98서2472,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199230&gubun=K,2015.08 (16년형),"202,000 km",디젤,"2,497 cc (174마력)",검정색,정보없음,950만원,준비중,,,,,,,,,,,등록,,,,,,,,,
212,현대 그랜드스타렉스  캠핑카 -   ,차량번호 77고6831,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199235&gubun=K,2014.07 (15년형),"99,600 km",디젤,"2,497 cc (174마력)",검정색,정보없음,"2,700만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
213,현대 그랜드스타렉스  캠핑카 -  ,차량번호 75거6418,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199231&gubun=K,2014.04 (15년형),"162,000 km",디젤,"2,497 cc (174마력)",은색,불가,"1,400만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
214,현대 그랜드스타렉스  캠핑카 -   ,차량번호 70두5902,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199236&gubun=K,2015.07 (16년형),"138,000 km",디젤,"2,497 cc (174마력)",은색투톤,정보없음,"2,850만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
215,현대 그랜드스타렉스  캠핑카 -   ,차량번호 70주5067,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199234&gubun=K,2012.12 (13년형),"145,000 km",디젤,"2,497 cc (174마력)",검정색,정보없음,"2,500만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
216,현대 그랜드스타렉스  어린이보호차 디젤 12인승 2WD   ,차량번호 70수8680,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2196757&gubun=K,2014.07 (15년형),"119,437 km",디젤,"2,497 cc (175마력)",노란색,불가,"1,290만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
217,현대 그랜드스타렉스  어린이버스 디젤 15인승 2WD CVX 럭셔리   ,차량번호 71누6990,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2196497&gubun=K,2015.04,"100,765 km",디젤,"2,497 cc ()",노란색,불가,"1,590만원",준비중,무,무,유,무,무,유,유,유,무,무,미등록,,,,,,,,,
218,현대 그랜드스타렉스  어린이보호차 디젤 12인승 2WD   ,차량번호 71노1887,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2195469&gubun=K,2011.01,"144,777 km",디젤,"2,497 cc (175마력)",노란색,불가,799만원,준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
219,현대 그랜드스타렉스  2.5 디젤 왜건 12인승 2WD CVX 럭셔리   ,차량번호 73저6034,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2194925&gubun=K,2013.07 (14년형),"110,262 km",디젤,"2,497 cc (175마력)",은색,불가,"1,099만원",준비중,무,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
220,현대 더 뉴 그랜드스타렉스  2.5 디젤 캠핑카 2WD   ,차량번호 73허7602,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2191146&gubun=K,2020.09 (21년형),"57,439 km",디젤,"2,497 cc (175마력)",흰색,불가,"5,480만원",준비중,무,무,무,무,무,유,무,유,무,무,미등록,,,,,,,,,
221,현대 더 뉴 그랜드스타렉스  2.5 디젤 캠핑카 4WD   ,차량번호 76나1625,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2188772&gubun=K,2020.03,"18,000 km",디젤,"2,497 cc (175마력)",검정색,정보없음,"4,200만원",준비중,무,무,유,무,무,유,무,유,무,유,미등록,,,,,,,,,
222,현대 그랜드스타렉스  캠핑카 -   ,차량번호 79두3833,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192187&gubun=K,2010.12 (11년형),"127,000 km",디젤,"2,497 cc (174마력)",하늘색,불가,"2,200만원",준비중,유,무,유,무,무,유,무,유,무,무,미등록,,,,,,,,,
223,현대 더 뉴 그랜드스타렉스  2.5 디젤 왜건 12인승 2WD 스마트  ,차량번호 701노7517,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2191752&gubun=K,2018.02,"91,749 km",디젤,"2,497 cc (175마력)",노란색,정보없음,"1,490만원",56,,,,,,,,,,,미등록,,,,,,,,,
224,현대 아반떼MD 1.6 M16 럭셔리,차량번호 60서7463,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217197&gubun=K,2010.09 (11년형),"84,242 km",가솔린,"1,591 cc ()",흰색,만료,550만원,36,무,무,유,무,무,유,무,유,무,무,등록,2,0,0,0,0,2,"2,045,860",2,"2,959,440"
225,현대 더 뉴 아반떼AD  1.6 터보 스포츠 모던,차량번호 10머4892,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215929&gubun=K,2019.07 (20년형),"47,763 km",가솔린,"1,591 cc (204마력)",검정색,"60개월 / 100,000km","1,230만원",55,무,무,유,무,무,유,무,유,무,무,등록,3,0,0,0,0,1,"3,583,640",1,"5,985,540"
226,현대 올 뉴 아반떼  1.6 모던,차량번호 392러6813,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215931&gubun=K,2021.07,"7,393 km",가솔린,"1,598 cc (123마력)",흰색,"60개월 / 100,000km","1,990만원",104,무,무,유,유,유,유,무,유,무,무,등록,1,0,0,0,0,1,"874,900",1,"462,932"
227,현대 아반떼MD 1.6  M16 럭셔리,차량번호 63로7913,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216992&gubun=K,2011.04,"90,530 km",가솔린,"1,591 cc ()",흰색,만료,599만원,39,무,무,유,무,무,유,무,유,무,무,등록,3,0,0,0,0,2,"2,041,628",1,"471,163"
228,현대 아반떼AD 1.6 터보 스포츠 오리지널,차량번호 48모1155,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215516&gubun=K,2017.03,"112,251 km",가솔린,"1,591 cc (204마력)",흰색,만료,"1,050만원",50,,,,,,,,,,,등록,4,0,0,0,0,5,"8,073,405",1,"603,643"
229,현대 아반떼 N 2.0 터보 ,차량번호 274무6217,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217240&gubun=K,2021.09 (22년형),"43,404 km",가솔린,"1,998 cc (280마력)",하늘색,"60개월 / 100,000km","2,499만원",준비중,,,,,,,,,,,등록,3,0,0,0,0,2,"5,115,660",2,"2,116,890"
230,현대 올 뉴 아반떼 1.6 터보  N 라인 스포츠,차량번호 351주8210,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217208&gubun=K,2021.02,"36,818 km",가솔린,"1,598 cc (204마력)",회색,"60개월 / 100,000km","1,750만원",준비중,유,무,유,무,유,유,무,유,무,무,등록,3,0,0,0,0,1,"1,437,330",0,0
231,현대 아반떼AD 1.6  밸류 플러스,차량번호 299오2918,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216887&gubun=K,2016.10 (17년형),"93,900 km",가솔린,"1,591 cc (132마력)",흰색,만료,"1,050만원",62,무,무,유,무,무,유,무,유,무,무,등록,4,0,0,0,0,2,"1,798,554",4,"4,498,238"
232,현대 아반떼 N 2.0 터보 ,차량번호 374마4964,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216439&gubun=K,2021.09 (22년형),"26,022 km",가솔린,"1,998 cc (280마력)",흰색,"60개월 / 100,000km","2,790만원",준비중,,,,,,,,,,,등록,3,0,0,0,0,0,0,0,0
233,현대 더 뉴 아반떼AD 1.6 스마트 초이스,차량번호 151조7699,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213614&gubun=K,2018.10 (19년형),"71,467 km",가솔린,"1,598 cc (123마력)",흰색,만료,"1,250만원",73,무,무,유,무,무,유,무,유,무,유,등록,1,0,0,0,0,1,"486,146",0,0
234,현대 더 뉴 아반떼 1.6 프리미엄,차량번호 16모1994,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192528&gubun=K,2014.01,"100,863 km",가솔린,"1,591 cc (140마력)",흰색,만료,850만원,42,유,무,무,유,유,유,무,유,무,무,등록,6,0,0,0,0,6,"4,997,928",3,"4,254,483"
235,현대 아반떼AD 1.6 터보 스포츠 DCT,차량번호 46머9390,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216949&gubun=K,2018.02,"94,000 km",가솔린,"1,591 cc (204마력)",기타색상,불가,"1,399만원",64,유,무,유,유,무,유,무,유,무,무,등록,2,0,0,0,0,4,"7,294,467",1,"745,539"
236,현대 아반떼MD 1.6 M16 럭셔리,차량번호 32너2944,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216234&gubun=K,2012.05,"138,445 km",가솔린,"1,591 cc ()",흰색,만료,580만원,38,무,무,유,무,무,무,무,유,무,유,등록,2,0,0,0,0,0,0,1,"3,189,700"
237,현대 올 뉴 아반떼 하이브리드 1.6 HEV  인스퍼레이션,차량번호 140수1793,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215892&gubun=K,2021.06,"42,077 km",가솔린 하이브리드,"1,580 cc (141마력)",진회색,"60개월 / 100,000km","2,450만원",87,유,무,유,유,유,유,무,유,무,유,등록,2,0,0,0,0,1,"770,820",2,"2,037,844"
238,현대 올 뉴 아반떼 1.6 모던,차량번호 237무2966,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216907&gubun=K,2022.10 (23년형),371 km,가솔린,"1,598 cc (123마력)",흰색,"60개월 / 100,000km","2,180만원",114,무,무,무,무,무,무,무,무,무,유,등록,0,0,0,0,0,0,0,0,0
239,현대 아반떼AD 1.6 모던 스페셜,차량번호 02부6060,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215338&gubun=K,2017.03,"70,508 km",가솔린,"1,591 cc (132마력)",흰색,만료,999만원,48,무,무,유,무,무,유,무,유,무,유,등록,0,0,0,0,0,1,"6,902,760",0,0
240,현대 아반떼AD 1.6  프리미엄,차량번호 52마0972,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217189&gubun=K,2015.10 (16년형),"61,896 km",가솔린,"1,591 cc (132마력)",흰색,만료,999만원,47,무,무,유,유,유,유,무,유,무,무,등록,1,0,0,0,0,3,"6,792,000",0,0
241,현대 더 뉴 아반떼AD 1.6 스마트 초이스,차량번호 123라1329,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213522&gubun=K,2019.10 (20년형),"10,719 km",가솔린,"1,598 cc (123마력)",흰색,"60개월 / 100,000km","1,120만원",66,무,무,유,무,무,유,무,유,무,유,등록,1,0,0,0,0,1,"8,554,693",1,"7,015,037"
242,현대 아반떼AD 1.6 모던 스페셜,차량번호 05노4038,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213307&gubun=K,2017.03,"81,829 km",가솔린,"1,591 cc (132마력)",흰색,만료,980만원,47,유,무,유,무,무,유,무,유,무,유,등록,6,0,0,0,0,2,"3,629,030",3,"3,781,705"
243,현대 아반떼AD 1.6 스마트 스페셜,차량번호 56고0731,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2212650&gubun=K,2016.01,"87,576 km",가솔린,"1,591 cc (132마력)",진회색,만료,960만원,51,유,무,유,무,무,유,무,유,무,유,등록,4,0,0,0,0,2,"2,375,930",4,"6,861,980"
244,현대 아반떼MD 1.6 M16 럭셔리,차량번호 60서7463,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217197&gubun=K,2010.09 (11년형),"84,242 km",가솔린,"1,591 cc ()",흰색,만료,550만원,36,무,무,유,무,무,유,무,유,무,무,등록,2,0,0,0,0,2,"2,045,860",2,"2,959,440"
245,현대 더 뉴 아반떼AD  1.6 터보 스포츠 모던,차량번호 10머4892,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215929&gubun=K,2019.07 (20년형),"47,763 km",가솔린,"1,591 cc (204마력)",검정색,"60개월 / 100,000km","1,230만원",55,무,무,유,무,무,유,무,유,무,무,등록,3,0,0,0,0,1,"3,583,640",1,"5,985,540"
246,현대 올 뉴 아반떼  1.6 모던,차량번호 392러6813,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215931&gubun=K,2021.07,"7,393 km",가솔린,"1,598 cc (123마력)",흰색,"60개월 / 100,000km","1,990만원",104,무,무,유,유,유,유,무,유,무,무,등록,1,0,0,0,0,1,"874,900",1,"462,932"
247,현대 아반떼MD 1.6  M16 럭셔리,차량번호 63로7913,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216992&gubun=K,2011.04,"90,530 km",가솔린,"1,591 cc ()",흰색,만료,599만원,39,무,무,유,무,무,유,무,유,무,무,등록,3,0,0,0,0,2,"2,041,628",1,"471,163"
248,현대 아반떼AD 1.6 터보 스포츠 오리지널,차량번호 48모1155,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215516&gubun=K,2017.03,"112,251 km",가솔린,"1,591 cc (204마력)",흰색,만료,"1,050만원",50,,,,,,,,,,,등록,4,0,0,0,0,5,"8,073,405",1,"603,643"
249,현대 아반떼 N 2.0 터보 ,차량번호 274무6217,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217240&gubun=K,2021.09 (22년형),"43,404 km",가솔린,"1,998 cc (280마력)",하늘색,"60개월 / 100,000km","2,499만원",준비중,,,,,,,,,,,등록,3,0,0,0,0,2,"5,115,660",2,"2,116,890"
250,현대 올 뉴 아반떼 1.6 터보  N 라인 스포츠,차량번호 351주8210,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217208&gubun=K,2021.02,"36,818 km",가솔린,"1,598 cc (204마력)",회색,"60개월 / 100,000km","1,750만원",준비중,유,무,유,무,유,유,무,유,무,무,등록,3,0,0,0,0,1,"1,437,330",0,0
251,현대 아반떼AD 1.6  밸류 플러스,차량번호 299오2918,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216887&gubun=K,2016.10 (17년형),"93,900 km",가솔린,"1,591 cc (132마력)",흰색,만료,"1,050만원",62,무,무,유,무,무,유,무,유,무,무,등록,4,0,0,0,0,2,"1,798,554",4,"4,498,238"
252,현대 아반떼 N 2.0 터보 ,차량번호 374마4964,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216439&gubun=K,2021.09 (22년형),"26,022 km",가솔린,"1,998 cc (280마력)",흰색,"60개월 / 100,000km","2,790만원",준비중,,,,,,,,,,,등록,3,0,0,0,0,0,0,0,0
253,현대 더 뉴 아반떼AD 1.6 스마트 초이스,차량번호 151조7699,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213614&gubun=K,2018.10 (19년형),"71,467 km",가솔린,"1,598 cc (123마력)",흰색,만료,"1,250만원",73,무,무,유,무,무,유,무,유,무,유,등록,1,0,0,0,0,1,"486,146",0,0
254,현대 더 뉴 아반떼 1.6 프리미엄,차량번호 16모1994,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2192528&gubun=K,2014.01,"100,863 km",가솔린,"1,591 cc (140마력)",흰색,만료,850만원,42,유,무,무,유,유,유,무,유,무,무,등록,6,0,0,0,0,6,"4,997,928",3,"4,254,483"
255,현대 아반떼AD 1.6 터보 스포츠 DCT,차량번호 46머9390,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216949&gubun=K,2018.02,"94,000 km",가솔린,"1,591 cc (204마력)",기타색상,불가,"1,399만원",64,유,무,유,유,무,유,무,유,무,무,등록,2,0,0,0,0,4,"7,294,467",1,"745,539"
256,현대 아반떼MD 1.6 M16 럭셔리,차량번호 32너2944,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216234&gubun=K,2012.05,"138,445 km",가솔린,"1,591 cc ()",흰색,만료,580만원,38,무,무,유,무,무,무,무,유,무,유,등록,2,0,0,0,0,0,0,1,"3,189,700"
257,현대 올 뉴 아반떼 하이브리드 1.6 HEV  인스퍼레이션,차량번호 140수1793,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215892&gubun=K,2021.06,"42,077 km",가솔린 하이브리드,"1,580 cc (141마력)",진회색,"60개월 / 100,000km","2,450만원",87,유,무,유,유,유,유,무,유,무,유,등록,2,0,0,0,0,1,"770,820",2,"2,037,844"
258,현대 올 뉴 아반떼 1.6 모던,차량번호 237무2966,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216907&gubun=K,2022.10 (23년형),371 km,가솔린,"1,598 cc (123마력)",흰색,"60개월 / 100,000km","2,180만원",114,무,무,무,무,무,무,무,무,무,유,등록,0,0,0,0,0,0,0,0,0
259,현대 아반떼AD 1.6 모던 스페셜,차량번호 02부6060,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215338&gubun=K,2017.03,"70,508 km",가솔린,"1,591 cc (132마력)",흰색,만료,999만원,48,무,무,유,무,무,유,무,유,무,유,등록,0,0,0,0,0,1,"6,902,760",0,0
260,현대 아반떼AD 1.6  프리미엄,차량번호 52마0972,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217189&gubun=K,2015.10 (16년형),"61,896 km",가솔린,"1,591 cc (132마력)",흰색,만료,999만원,47,무,무,유,유,유,유,무,유,무,무,등록,1,0,0,0,0,3,"6,792,000",0,0
261,현대 더 뉴 아반떼AD 1.6 스마트 초이스,차량번호 123라1329,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213522&gubun=K,2019.10 (20년형),"10,719 km",가솔린,"1,598 cc (123마력)",흰색,"60개월 / 100,000km","1,120만원",66,무,무,유,무,무,유,무,유,무,유,등록,1,0,0,0,0,1,"8,554,693",1,"7,015,037"
262,현대 아반떼AD 1.6 모던 스페셜,차량번호 05노4038,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213307&gubun=K,2017.03,"81,829 km",가솔린,"1,591 cc (132마력)",흰색,만료,980만원,47,유,무,유,무,무,유,무,유,무,유,등록,6,0,0,0,0,2,"3,629,030",3,"3,781,705"
263,현대 아반떼AD 1.6 스마트 스페셜,차량번호 56고0731,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2212650&gubun=K,2016.01,"87,576 km",가솔린,"1,591 cc (132마력)",진회색,만료,960만원,51,유,무,유,무,무,유,무,유,무,유,등록,4,0,0,0,0,2,"2,375,930",4,"6,861,980"
264,현대 아반떼AD 1.6 밸류 플러스,차량번호 55우0267,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2212278&gubun=K,2016.10 (17년형),"55,328 km",가솔린,"1,591 cc (132마력)",흰색,만료,950만원,56,무,무,유,무,무,유,무,유,무,무,등록,4,0,0,0,0,0,0,0,0
265,현대 아반떼AD 1.6 밸류 플러스,차량번호 04가5201,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2210023&gubun=K,2017.02,"59,453 km",가솔린,"1,591 cc (132마력)",진회색,만료,899만원,53,무,무,유,무,무,유,무,유,무,무,등록,0,0,0,0,0,4,"10,018,206",2,"5,117,281"
266,현대 아반떼MD 1.6  M16 모던,차량번호 43러8969,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216543&gubun=K,2012.09 (13년형),"75,734 km",가솔린,"1,591 cc (140마력)",흰색,만료,499만원,26,유,무,유,유,무,유,무,유,무,무,등록,2,0,0,0,0,6,"8,920,807",1,"1,684,000"
267,현대 아반떼MD 1.6  M16 프리미어,차량번호 42머5657,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216969&gubun=K,2012.06,"83,499 km",가솔린,"1,591 cc (140마력)",흰색,만료,740만원,40,무,무,유,무,무,유,무,유,무,무,등록,1,0,0,0,0,1,"661,650",2,"827,890"
268,현대 아반떼MD 1.6 M16 프리미어,차량번호 34저2471,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214341&gubun=K,2012.07,"60,750 km",가솔린,"1,591 cc (140마력)",흰색,만료,760만원,41,무,무,유,유,무,유,무,유,무,유,등록,1,0,0,0,0,1,"1,068,780",1,"488,028"
269,현대 올 뉴 아반떼  1.6 인스퍼레이션,차량번호 152하6358,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217016&gubun=K,2022.06 (23년형),"17,000 km",가솔린,"1,598 cc (123마력)",진회색,"60개월 / 100,000km",0원,소유,무,무,유,유,유,유,무,유,무,무,등록,0,0,0,0,0,0,0,0,0
270,현대 올 뉴 아반떼  1.6 인스퍼레이션,차량번호 175하3399,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2212027&gubun=K,2023.03,"6,000 km",가솔린,"1,598 cc (123마력)",진회색,"60개월 / 100,000km",230만원,소유,무,무,유,무,무,무,무,유,무,유,등록,0,0,0,0,0,0,0,0,0
271,현대 아반떼AD  1.6 터보 스포츠 익스트림 셀렉션   ,차량번호 02구5554,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203631&gubun=K,2016.07 (17년형),"77,323 km",가솔린,"1,591 cc (204마력)",파란색,불가,"1,390만원",57,유,무,유,유,무,유,무,유,무,유,미등록,,,,,,,,,
272,현대 올 뉴 아반떼  1.6 터보 N 라인 스포츠   ,차량번호 116수8204,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2208369&gubun=K,2021.02,"60,482 km",가솔린,"1,598 cc (204마력)",진회색,"60개월 / 100,000km","1,990만원",준비중,무,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
273,현대 아반떼AD  1.6 터보 스포츠 M/T   ,차량번호 32수4147,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216952&gubun=K,2017.01,"130,333 km",가솔린,"1,591 cc ()",흰색,불가,980만원,49,유,무,유,무,무,유,무,유,무,유,등록,5,0,0,0,0,1,"554,854",0,0
274,현대 올 뉴 아반떼  1.6 인스퍼레이션   ,차량번호 398부2655,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2207193&gubun=K,2020.09 (21년형),"54,513 km",가솔린,"1,598 cc (123마력)",빨간색,"60개월 / 100,000km","1,890만원",79,유,무,유,유,유,유,무,유,무,유,등록,3,0,0,0,0,0,0,1,"3,864,590"
275,현대 올 뉴 아반떼 하이브리드 1.6 HEV 인스퍼레이션,차량번호 319가8957,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217125&gubun=K,2023.05 (24년형),"13,000 km",가솔린,"1,580 cc (141마력)",검정색,"60개월 / 100,000km","3,000만원",106,무,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
276,현대 더 뉴 아반떼AD 1.6 프리미엄,차량번호 200호9405,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216250&gubun=K,2023.11 (24년형),10 km,가솔린,"1,598 cc (123마력)",흰색,"60개월 / 100,000km",0원,소유,,,,,,,,,,,등록,,,,,,,,,
277,현대 아반떼AD  1.6 터보 스포츠 M/T   ,차량번호 46거0722,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216450&gubun=K,2016.06 (17년형),"73,000 km",가솔린,"3,342 cc ()",금색,불가,"1,390만원",70,,,,,,,,,,,미등록,,,,,,,,,
278,현대 더 뉴 아반떼 1.6 스마트,차량번호 13고8670,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215122&gubun=K,2014.08 (15년형),"44,915 km",가솔린,"1,591 cc (140마력)",흰색,만료,910만원,52,무,무,유,무,무,유,무,유,무,무,등록,,,,,,,,,
279,현대 아반떼 N  2.0 터보 -   ,차량번호 127라9588,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214647&gubun=K,2022.06,"17,000 km",가솔린,"1,998 cc (280마력)",빨간색,"60개월 / 100,000km","2,890만원",준비중,무,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
280,현대 더 뉴 아반떼  1.6 디젤 스마트 ,차량번호 59머8626,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216773&gubun=K,2013.12 (14년형),"168,000 km",디젤,"1,582 cc (128마력)",흰색,불가,430만원,24,,,,,,,,,,,미등록,,,,,,,,,
281,현대 더 뉴 아반떼 1.6  스마트,차량번호 47더3650,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216761&gubun=K,2014.04,"99,281 km",가솔린,"1,591 cc (140마력)",은색,만료,510만원,29,유,무,무,무,무,유,무,유,무,무,등록,1,0,0,0,0,3,"2,776,510",4,"6,344,228"
282,현대 더 뉴 아반떼AD 1.6  스마트,차량번호 224오8887,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214744&gubun=K,2019.03,"57,631 km",가솔린,"1,598 cc (123마력)",흰색,"60개월 / 100,000km","1,390만원",77,유,무,유,무,무,유,무,유,무,유,등록,2,0,0,0,0,1,"394,709",0,0
283,현대 아반떼MD 1.6 M16 프리미어,차량번호 41루6892,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216385&gubun=K,2011.09 (12년형),"107,000 km",가솔린,"1,591 cc (140마력)",은색,불가,650만원,35,무,무,유,유,무,유,무,유,무,유,등록,,,,,,,,,
284,현대 올 뉴 아반떼 1.6 LPi   스타일,차량번호 244나7746,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214832&gubun=K,2020.11 (21년형),"83,267 km",LPG,"1,591 cc (120마력)",흰색,"60개월 / 100,000km","1,390만원",78,무,무,무,무,무,유,무,유,무,무,등록,1,0,0,0,0,1,"708,490",1,"648,710"
